PassengerId,Survived,Pclass,Sex,Age,Fare
1,0,3,male,22,7.25
2,1,1,female,38,71.28
3,1,3,female,26,7.92
4,1,1,female,35,53.10
5,0,3,male,35,8.05
6,0,3,male,28,8.46
7,0,1,male,54,51.86
8,0,3,male,2,21.07
9,1,3,female,27,11.13
10,1,2,female,14,30.07
11,1,3,female,4,16.70
12,1,1,male,58,26.55
13,0,3,male,20,8.05
14,0,3,male,39,31.27
15,0,3,female,14,7.85
16,1,2,female,55,16.00
17,0,3,male,2,29.12
18,1,2,male,28,13.00
19,0,3,female,31,18.00
20,1,3,female,35,7.23
21,0,2,male,34,26.00
22,1,1,female,15,82.17
23,0,3,male,28,7.89
24,1,1,male,28,35.50
25,0,3,female,8,21.08
26,1,3,female,38,7.92
27,0,3,male,28,7.75
28,0,1,male,19,263.00
29,1,3,female,28,7.88
30,0,3,male,40,9.50
31,1,1,female,35,83.47
32,1,1,female,62,76.29
33,0,3,male,28,7.75
34,0,2,male,42,13.00
35,1,1,female,29,26.00
36,0,3,male,28,7.90
37,1,3,female,21,7.73
38,0,3,male,45,7.05
39,1,2,female,18,23.00
40,0,3,male,30,7.25
